Time (microseconds),scope4
544833.33,-342.058776855469
544916.67,-338.836975097656
545000.00,-339.481323242188
545083.33,-339.481323242188
545166.67,-340.125701904297
545250.00,-340.125701904297
545333.33,-341.414428710938
545416.67,-342.058776855469
545500.00,-341.414428710938
545583.33,-340.125701904297
545666.67,-340.125701904297
545750.00,-340.770050048828
545833.33,-342.058776855469
545916.67,-342.058776855469
546000.00,-340.125701904297
546083.33,-340.770050048828
546166.67,-340.125701904297
546250.00,-342.058776855469
546333.33,-340.770050048828
546416.67,-341.414428710938
546500.00,-342.703125
546583.33,-341.414428710938
546666.67,-342.058776855469
546750.00,-342.703125
546833.33,-343.347503662109
546916.67,-339.481323242188
547000.00,-340.770050048828
547083.33,-342.058776855469
547166.67,-342.703125
547250.00,-342.058776855469
547333.33,-343.347503662109
547416.67,-342.058776855469
547500.00,-343.347503662109
547583.33,-340.770050048828
547666.67,-341.414428710938
547750.00,-344.63623046875
547833.33,-341.414428710938
547916.67,-341.414428710938
548000.00,-342.703125
548083.33,-342.058776855469
548166.67,-340.770050048828
548250.00,-342.058776855469
548333.33,-341.414428710938
548416.67,-341.414428710938
548500.00,-340.125701904297
548583.33,-342.703125
548666.67,-343.347503662109
548750.00,-338.836975097656
548833.33,-342.058776855469
548916.67,-341.414428710938
549000.00,-344.63623046875
549083.33,-342.058776855469
549166.67,-343.347503662109
549250.00,-342.058776855469
549333.33,-343.347503662109
549416.67,-340.770050048828
549500.00,-341.414428710938
549583.33,-344.63623046875
549666.67,-342.703125
549750.00,-340.770050048828
549833.33,-342.058776855469
549916.67,-341.414428710938
550000.00,-342.703125
550083.33,-340.770050048828
550166.67,-340.125701904297
550250.00,-341.414428710938
550333.33,-339.481323242188
550416.67,-342.703125
550500.00,-343.347503662109
550583.33,-340.125701904297
550666.67,-339.481323242188
550750.00,-337.548248291016
550833.33,-340.125701904297
550916.67,-337.548248291016
551000.00,-336.259521484375
551083.33,-338.192626953125
551166.67,-337.548248291016
551250.00,-334.326446533203
551333.33,-336.259521484375
551416.67,-338.836975097656
551500.00,-334.326446533203
551583.33,-334.970825195313
551666.67,-336.903900146484
551750.00,-334.970825195313
551833.33,-336.903900146484
551916.67,-332.393371582031
552000.00,-331.104644775391
552083.33,-334.326446533203
552166.67,-332.393371582031
552250.00,-332.393371582031
552333.33,-333.037719726563
552416.67,-329.81591796875
552500.00,-330.460296630859
552583.33,-329.81591796875
552666.67,-331.104644775391
552750.00,-331.104644775391
552833.33,-327.238494873047
552916.67,-327.238494873047
